Element, data.x, data.y, data.z, data.w
0, 9B74F3F0, 000000AA, 000000C0, 00000000
1, 4B46D560, 00000275, 41200000, 00000002
2, 00000004, 00000000, CCCCCCCC, CCCCCCCC
3, CCCCCCCC, CCCCCCCC, B33BBD2E, 3F800000
4, 00000000, 00000000, BF800000, B33BBD2E
5, 00000000, 00000000, 00000000, 00000000
6, 3F7FFFFF, 00000000, 00000000, 00000000
7, 00000000, 3F800000, BF3504F3, BED105EB
8, 3F13CD3A, 00000000, 3F3504F3, BED105EB
9, 3F13CD3A, 00000000, 00000000, 3F5105EB
10, 3F13CD3A, 00000000, 80000000, 80000000
11, C05DB3D7, 3F800000, 3FE7C3B6, 00000000
